"cancer_abs"	"lympho_abs"	"myelo_abs"	"stroma_abs"	"Bcells_abs"	"NK_abs"	"PlasmaCells_abs"	"Tcells_abs"	"CD8_abs"	"CD4_abs"	"Tgd_abs"	"CD8_naive_abs"	"CM_CD8_abs"	"EM_CD8_abs"	"EMRA_CD8_abs"	"Th1_abs"	"Th2_abs"	"Th17_abs"	"Treg_abs"	"Tfh_abs"	"dendritic_abs"	"granulocytes_abs"	"macro_abs"	"monocytes_abs"	"plasmacytoid_abs"	"M1_abs"	"M2_abs"
"TCGA-02-0001"	0.0872138777467522	0.0478108684157209	0.0203497248915774	0.0198958778002637	0.00802327634295269	0.00204648304097663	0.00588265994075393	0.0318584490910376	0.0290044366681956	0.00261019259845287	0.000243819824389162	-1.8591644082481e-18	0	0.00261019259845287	2.52221065135982e-20	0.00147902531926311	0.0101515287774639	0.000228321683870912	0.0158408774488722	0.0013046834387254	0.00193185339966044	0.000295187529215973	0.0175884100480123	-6.29216061121969e-19	0.000534273914688636	0.00973259521628341	0.00785581483172892
"TCGA-02-0003"	0.0698770140214943	0.0509885119604047	0.0110434828899795	0.0192081701490112	0.0130458586443916	0.00102752580332488	0.02833873214494	0.00857639536774826	0.00813587956049416	0.000440515807254106	1.57484432998709e-22	-1.96973426571491e-18	4.59162301989881e-05	0.00039459957705512	-8.21224031345204e-20	0.000733001670514228	0.000438377037265437	0	0.00553465454017379	0.00142984631254069	0.00300405192995341	2.14171384971708e-05	0.00774104445999634	-7.6084366677358e-37	0.000276969361532543	0.00774104445999638	-1.14027237472839e-20
"TCGA-02-0004"	0.156046346800408	9.99290258533221e-19	0.00828594023127149	0.835667712968321	3.49425423922322e-19	4.25132615519224e-20	9.05951286758329e-20	5.16756444383143e-19	4.89849807848182e-19	2.69066365349618e-20	-2.16261399890033e-36	9.18835684319369e-37	0	2.69066365349618e-20	0	-3.88243475637945e-35	1.84600609318107e-19	2.32204434033917e-21	2.25359575890001e-19	7.75675782997344e-20	4.04051287762593e-20	2.20898385662917e-05	0.00775593840934857	0.000479916827165531	2.79951561910941e-05	0.00775593840934862	8.44549998323368e-21
"TCGA-02-0007"	0.134237955474828	0.00209035760041293	0.000777060369113087	0.00487824366513519	0.000186913254187964	5.32707676349984e-05	0.000313682274788391	0.00153649130380158	0.00149384280264566	4.26485011559223e-05	-2.65743951227348e-22	8.6953374485638e-06	3.39027383516779e-05	1.41724085036191e-21	5.04253556806608e-08	4.49244301668952e-20	0.00052593476323113	8.38004465232114e-07	0.00094804948216188	1.90205527874114e-05	7.8529963175247e-05	1.24486811422208e-05	0.000595094780677492	8.06236747066162e-05	1.03632694115109e-05	6.5461407943428e-05	0.000529633372734064
"TCGA-02-0009"	0.0640048068712585	0.0121732218187515	0.00408184257067972	0.033744436351906	0.00206529511452011	0.000445324465487666	0.00235690918523073	0.00730569305351295	0.00688749912872809	0.000418193924784859	1.77741346460108e-20	-6.73812677616902e-21	1.21758324815938e-05	0.000406018092303265	-1.86024834462405e-20	1.09174640789964e-20	0.00172260456554141	6.63614493748919e-05	0.00501045973552071	8.80733782910704e-05	0.000211486661246528	0.000234690421302959	0.00357951755250791	0	5.61479356223175e-05	0.00357951755250793	3.94077593576372e-21
"TCGA-02-0011"	0.0667928445126948	0.0293260203451025	0.0013644499482759	1.8071869536555e-18	0.0196461474485423	0.00029803549473982	0.00459770101867149	0.00478413638314891	0.00454500645710456	0.000239129926044357	1.06753968723471e-19	0.000238618703129727	3.46111410034241e-19	5.11222914630179e-07	-2.77478728421559e-20	2.90076168488829e-21	0.00300692893193347	-4.29918003135833e-20	0.00153179504414694	6.2824810241416e-06	0.000953585741500634	3.29452709655341e-05	0.000172989142710444	0.000182976900118515	2.19528929807526e-05	0.000172989142710445	-1.54245852052908e-23
"TCGA-02-0015"	0.549342637365121	-1.50024473364953e-18	0.00532234291189757	0.126826470562869	-1.38512993118668e-19	-8.59143703877948e-20	-2.1745911120862e-19	-1.05835825893445e-18	-1.02253571942851e-18	-3.58225395059322e-20	-5.20451257749475e-36	-7.50827902991878e-22	-2.38727797992735e-20	-1.11989318036668e-20	2.77421248724489e-39	-5.08929715012614e-36	-3.84631141508446e-19	-9.3185106484258e-21	-6.08186670857227e-19	-2.03993964144156e-20	9.48397529917406e-20	9.10746643434246e-06	0.00531323544546322	6.8269757946107e-22	0	0.00459508026520925	0.000718155180253982
"TCGA-02-0016"	0.255171968699306	0.0117640533563695	0.00353831266315077	3.89184943417251e-18	0.000977442960902419	0.000678771850718255	0.00172785783931372	0.00837998070543514	0.00807853480289694	0.00030144590253819	0	0.000171313152338431	-2.77521346929885e-20	0.000130132750199759	-2.13132945695311e-22	-6.43416127882874e-19	0.00278041728163942	2.47768737380133e-05	0.00514232359101106	0.000131017056508439	4.96483732605646e-05	2.46232500844663e-05	0.00325204733315651	0.000159175012776459	5.2818693872777e-05	0.00196951278675219	0.00128253454640433
"TCGA-02-0021"	0.0688602945843007	0.000438047345388196	0	0.00208344847314567	0	4.94729200168095e-06	6.37596624791837e-05	0.000369340390907331	0.000346580293498226	2.27600974091046e-05	-2.18947444651454e-20	6.43253857859717e-06	1.63275588305074e-05	-8.6877786704911e-22	-1.55938570134496e-22	-2.95962339779043e-23	0.000132166375821474	3.05994142479984e-06	0.000206627598860962	4.72637739099025e-06	0	0	0	0	0	0	0
"TCGA-02-0023"	0.688448543004308	0.00674605366642875	0.00573088818123729	-1.26905191853288e-18	0.000665993917620991	0.000391887537145564	0.000961687174416006	0.00472648503724619	0.0044231661077179	0.000303318929528283	2.36861647859756e-20	0.000112780527654543	0	0.00019053840187374	4.82788146843966e-21	4.12619452346916e-20	0.000400772441870393	4.1861760524755e-05	0.00387401811384712	0.00010651379147563	6.62939410967557e-05	2.37345168769168e-05	0.00526391088506121	0.000340778381398487	3.61704568038286e-05	0.00432996494056217	0.000933945944499034
