"Cell line 1"	"Cell line 2"	"Cell line 3"	"RMSE"	"Correlation"
"TCGA-02-0001"	0.030690700417872	0.135241299517445	0.834068000064682	295.558910704399	0.0878436429689155
"TCGA-02-0003"	-5.20036394097384e-18	0.142858813917804	0.857141186082196	418.632113766513	0.246811736311088
"TCGA-02-0004"	0.00629984006357883	0.993700159936422	-3.80204062521526e-16	1348.02872425833	0.543278792436514
"TCGA-02-0007"	-1.72806739743804e-19	0.572408739487127	0.427591260512872	700.89081647368	0.215570271917145
"TCGA-02-0009"	-1.36936894928259e-17	1	7.11522103965029e-17	525.061350470967	0.608101878898755
"TCGA-02-0011"	0.161589233801537	-5.29430719341596e-20	0.83841076619846	538.710666450248	-0.06570012114087
"TCGA-02-0015"	0.11513599739975	0.311739296645562	0.573124705954691	520.415686052597	0.606617123522027
"TCGA-02-0016"	0.449571084254594	1.11931121442751e-16	0.550428915745405	383.492493806164	0.718981595392913
"TCGA-02-0021"	-6.9834973090783e-16	1	1.34181340671271e-16	901.797147001463	0.869076457716762
"TCGA-02-0023"	0.218627632929256	-1.4533772107561e-16	0.781372367070744	294.872514833466	0.766338962654069
"TCGA-02-0024"	0	1	3.67102869782887e-20	2586.63743500829	-0.00563373412439529
"TCGA-02-0025"	1.24200367484015e-19	1	3.28440206425988e-19	407.821902572637	0.772232350021938
"TCGA-02-0027"	5.91348967198089e-19	1	-5.91351584472164e-19	987.619880798667	0.360660309320265
"TCGA-02-0033"	0.0578701653570573	0.487078274595457	0.455051560047486	471.600721514367	0.0684281781601611
"TCGA-02-0034"	0.0171942152306523	0.788160663214033	0.194645121555314	397.933157019515	0.221687351378628
"TCGA-02-0038"	0.103762350666803	0.449749793244673	0.446487856088524	480.687193167072	0.0894708072016512
"TCGA-02-0039"	-1.29928073066011e-18	0.716285620728325	0.283714379271673	620.72867479015	0.666868349321965
"TCGA-02-0043"	-5.20046684314842e-17	0.982511909751099	0.0174880902489009	621.593799035566	0.286347898241046
"TCGA-02-0046"	-4.33680868994202e-19	0.131463529562742	0.868536470437257	419.684496685661	0.152153940329516
"TCGA-02-0047"	0.131017191937432	0.152175886037503	0.716806922025066	539.102841034401	-0.0599376068717209
"TCGA-02-0048"	0.460721783921016	-5.40456093888299e-17	0.539278216078985	305.112233746028	0.726437924344163
"TCGA-02-0051"	1.64197342714018e-17	1	1.22837355970024e-18	710.033400053133	0.89340395387775
"TCGA-02-0052"	1.52426127729557e-18	0.904231214050716	0.0957687859492831	566.78267995027	0.249649795402651
"TCGA-02-0054"	0.147346345769408	-3.59885208913647e-18	0.852653654230591	477.695884996937	-0.0586274597867312
"TCGA-02-0057"	-2.47186685149623e-19	0.561085387083002	0.438914612916997	521.952362170479	0.280172991957334
"TCGA-02-0059"	0.0339369075379117	0.770785272173497	0.195277820288592	548.550316268623	0.564804035802273
"TCGA-02-0060"	-1.33131348645609e-18	0.902089702306067	0.0979102976939322	914.502432006748	0.258713944486743
"TCGA-02-0064"	0.0898285624925262	0.774036398160007	0.136135039347468	606.77775646013	0.64212685889128
"TCGA-02-0068"	0.138035825842324	0.268521872964929	0.593442301192747	582.555790773253	0.474699600671859
"TCGA-02-0069"	0.507665965176424	1.24236428157135e-17	0.492334034823575	265.93781769412	0.47412127313338
"TCGA-02-0070"	0.24070073680354	0.193730011113972	0.565569252082487	540.487365067417	0.50160502058049
"TCGA-02-0071"	0.184805342042657	0.285804083476161	0.529390574481179	403.635294017224	0.690260712852698
"TCGA-02-0074"	0.261810165097697	0.0753091753897936	0.662880659512509	261.401653760655	0.749416739589573
"TCGA-02-0075"	1.86459953471965e-18	0.771695902625824	0.228304097374164	526.29883059888	0.530503861537944
"TCGA-02-0079"	0.470608586153742	0.379723558868115	0.149667854978138	334.862719251029	0.357188313346003
"TCGA-02-0083"	0.159487891185551	-3.22730231711575e-16	0.840512108814449	319.401691130856	0.776910224159644
"TCGA-02-0085"	0.152348148980064	0.669901559462738	0.177750291557199	642.586717666673	0.37707389885382
"TCGA-02-0086"	1.56322513527018e-17	0.279666079187319	0.720333920812682	428.338518041841	0.70827587663156
"TCGA-02-0089"	0.271821814462794	0.499515318577409	0.228662866959797	421.963447304776	0.432577399534066
"TCGA-02-0099"	0.0386003867936913	0.291563767916767	0.669835845289542	582.9621817574	0.347280168106606
"TCGA-02-0102"	0.217995076871216	0.0618384373102293	0.720166485818563	532.248969951512	0.63832235450053
"TCGA-02-0106"	9.90233612149166e-17	0.96252116857133	0.0374788314286689	641.961311666564	0.759116162519091
"TCGA-02-0107"	0.129387245495748	0.593468184090677	0.277144570413575	707.98528079573	0.314307819328054
"TCGA-02-0111"	0.124128904005347	0.465159270697803	0.410711825296851	444.984819213576	0.4478567209457
"TCGA-02-0113"	0.0286613090564243	-2.20927955091954e-17	0.971338690943576	323.449245959535	0.541769857292393
"TCGA-02-0115"	0.167001579041864	0.0861363052708783	0.746862115687257	476.917695518746	0.572671386079225
"TCGA-02-0116"	2.18220611418765e-32	0.825650183416881	0.174349816583119	471.891484287637	0.520604436992394
"TCGA-02-0260"	0.118414345228528	-3.32661110682684e-17	0.881585654771473	234.939266257379	0.880942487875062
"TCGA-02-0266"	0.0829288014846993	0.451545287953288	0.465525910562013	429.01920960017	0.577681715306961
"TCGA-02-0269"	0.372759464252481	-1.22273631281252e-17	0.627240535747519	203.527377053421	0.840983480464999
"TCGA-02-0271"	-1.58419927869108e-17	0.257572084261418	0.742427915738583	362.27485606091	0.570359601495369
